Problem,Property,Value,Text
LV.AMO.2013.11.1,bookmark,35,Risinājums: Apgalvojums - polinoma vērtības atlikumu (dalot ar 13) nosaka mainīgā atlikums (dalot ar 13). Trīs svītriņas - kongruences simbols. Metode: Modulārā aritmētika.
LV.AMO.2013.11.1,bookmark,126,Risinājums: Visi 13 iespējamie atlikumi un polinoma vērtības. Metode: Gadījumu pārlase.
LV.AMO.2013.11.1,bookmark,228,"Risinājums: Kāda ir polinoma vērtība, ja ievieto n, kas dod atlikumu 8 dalot ar 13. Metode: Substitūcija."
LV.AMO.2013.11.1,bookmark,329,"Atskats: Kā var risināt, ja mēs jau no sākuma zinām, ka polinoma vērtības, kas dalās ar 13, dod atlikumu 39, ja tās dala ar 169. Metode: Uzmini un pārbaudi."
,,,
LV.AMO.2013.11.2,title,"40.AMO, 11.klases 2.uzdevums",
LV.AMO.2013.11.2,youtube,5Ir-ExKzdYU,
LV.AMO.2013.11.2,topic,trigonometry,
LV.AMO.2013.11.2,bookmark,12,Uzdevuma saprašana: Dažāda garuma diagonāles regulārā n-stūrī.
LV.AMO.2013.11.2,bookmark,41,Risinājums: Diagonāļu garumu izteikšana ar sinusu. Metode: Trigonometrija.
LV.AMO.2013.11.2,bookmark,182,Risinājums: Vērtību ievietošana. Metode: Uzmini un pārbaudi.
LV.AMO.2013.11.2,bookmark,247,"Atskats: Alternatīvs risinājums - uzzīmē 12-stūri, uzvelkot dažas diagonāles pārliecinās, ka divu īsāko diagonāļu garumu summa ir vienāda ar garāko 12-stūra diagonāli. Metode: Konstrukcijas papildināšana."
LV.AMO.2013.11.2,note,"Risinājums (divas vienādas diagonāles summā dod apvilktā riņķa diametru) var šķist īpatnējs; faktiski - situācijas, kur divu diagonāļu garumu summa sakrīt ar trešo diagonāli, ir diezgan bieži sastopama. Var, teiksim, pamatot, ka sin30° + sin18° = sin54° - un novilkt trīs diagonāles regulārā 30-stūrī, kam divu diagonāļu summa būs vienāda ar trešo diagonāli.",
LV.AMO.2013.11.2,note,"Uz apļveida pulksteņa ciparnīcas ārmalas vienādos attālumos atzīmēti 12 punkti: P_12, P_1, P_2, ..., P_11. Pamatot, ka regulārajā 12-stūrī malas un diagonāles summa vienāda sd ar trešo malu: P_{12}P_1 + P_1P_4 = P_{12}P_5",
LV.AMO.2013.11.2,note,"Regulārā 9-stūrī novilkt trīs diagonāles tā, lai divu diagonāļu summa būtu vienāda ar trešo diagonāli.",
LV.AMO.2013.11.2,note,"Parādīt, ka ikvienā regulārā 3n-stūrī (n&gt;=2) var novilkt trīs diagonāles tā, lai divu diagonāļu summa būtu vienāda ar trešo diagonāli.",
,,,
LV.AMO.2013.11.3,title,"40.AMO, 11.klases 3.uzdevums",
LV.AMO.2013.11.3,youtube,Nv-ofI9eTiU,
LV.AMO.2013.11.3,topic,sequences,
LV.AMO.2013.11.3,bookmark,26,"Uzdevuma saprašana: Neierobežoti daudzi skaitļi, kas ir 3 un 5 pakāpju reizinājumi; tātad neierobežoti daudzu skaitļu saskaitīšana."
LV.AMO.2013.11.3,bookmark,79,Risinājums: Skaitļa izteikšana ar pirmskaitļa pakāpēm. Metode: Viennozīmīga sadalīšana pirmreizinātājos.
LV.AMO.2013.11.3,bookmark,107,Risinājums: Nevienādības vienas puses papildināšana ar jauniem saskaitāmajiem. Metode: Nevienādības pārveidošana.
LV.AMO.2013.11.3,bookmark,212,Risinājums: Skaitļu tabulas summas pārveidošana par divu summu reizinājumu. Metode: Dalīšana reizinātājos.
LV.AMO.2013.11.3,bookmark,259,Risinājums: Ģeometriskas progresijas summas formula. Metode: Algebriska identitāte.
LV.AMO.2013.11.3,bookmark,337,Risinājums: Ģeometriskas progresijas summas formulas pielietojums. Metode: Ģeometriskās progresijas summa.
LV.AMO.2013.11.3,bookmark,493,"Atskats: Nevienādības kreisās puses papildināšana ar jauniem saskaitāmajiem, sadalīšana reizinātājos, ģeometriskas progresijas summa, noapaļošana uz augšu."
LV.AMO.2013.11.3,note,"Kas notiek, ja atļauj arī pāru skaitļus?",
LV.AMO.2013.11.3,note,"Kas notiek, ja summē virknes a_n locekļu apgrieztus kvadrātus? Vai kvadrātsaknes?",
LV.AMO.2013.11.3,note,"Kas notiek, ja atļauj arī citus pirmreizinātājus - lielākus par 5?",
,,,
LV.AMO.2013.11.4,title,"40.AMO, 11.klases 4.uzdevums",
LV.AMO.2013.11.4,youtube,sXP1nnsLBy4,
LV.AMO.2013.11.4,topic,graphs,
LV.AMO.2013.11.4,bookmark,49,"Uzdevuma saprašana: Orientēts grafs ar izkrāsotām šķautnēm (2 krāsas), bet bez cilpām vienā krāsā."
LV.AMO.2013.11.4,bookmark,84,Risinājums: Divu pilsētu gadījums. Metode: Vienkāršāks uzdevums.
LV.AMO.2013.11.4,bookmark,112,Risinājums: Pāreja uz lielāku pilsētu skaitu. Metode: Matemātiskā indukcija.
LV.AMO.2013.11.4,bookmark,153,Risinājums: Kopskats - kāds izskatīsies risinājums 2013 pilsētu gadījumā? Metode: Kopas sakārtošana.
LV.AMO.2013.11.4,bookmark,194,"Risinājums: Pamatojums, kādēļ nevar izveidot cilpu. Metode: Sakārtojuma transitivitāte."
LV.AMO.2013.11.4,bookmark,255,Atskats: Orientēti grafi un galīgas kopas pilns sakārtojums.
LV.AMO.2013.11.4,note,"Kas mainās uzdevuma atrisinājumā, ja divas pilsētas atrodas tieši uz viena meridiāna - t.i. nevar pateikt, kura atrodas uz rietumiem no otras?",
LV.AMO.2013.11.4,note,Trīs bultiņu krāsas - katrā pietiekami garā ciklveida maršrutā izmantotas visas trīs?,
,,,
LV.AMO.2013.11.5,title,"40.AMO, 11.klases 5.uzdevums",
LV.AMO.2013.11.5,youtube,3ODAF9SC0IQ,
LV.AMO.2013.11.5,topic,topology,
LV.AMO.2013.11.5,bookmark,25,"Uzdevuma saprašana: Kā formāli saprast jēdzienus ""uz galda virsmas izvietoti"", ""iedurt adatu"", ""piesprausts""?"
LV.AMO.2013.11.5,bookmark,108,"Risinājums: Kvadrātiņu aizstāšana ar to centriem un apgabala apzīmēšana, kur var atrasties šie centri. Metode: Zīmējuma izveidošana."
LV.AMO.2013.11.5,bookmark,168,"Risinājums: Adatas ""apkārtne"" un apkārtņu pārklāšanās. Metode: Iespējamā atrisinājuma īpašības."
LV.AMO.2013.11.5,bookmark,240,Risinājums: Kādēļ adatu apkārtnes nevar pārklāties? Metode: Kopu īpašības.
LV.AMO.2013.11.5,bookmark,280,Risinājums: Atrisinājums adatu režģa veidā. Kādēļ nevienu lapiņu necaurdur divas adatas? Metode: Plaknes aizpildīšana.
LV.AMO.2013.11.5,bookmark,392,"Risinājums: Ko darīt, ja kvadrātiņu centri nonāk uz apkārtņu robežām. Metode: Kopu kardinalitāte."
LV.AMO.2013.11.5,note,"Cik dažādi kvadrātveida režģa stāvokļi jāizvēlas (pa horizontāli vai pa vertikāli), lai noteikti varētu izvairīties no N atzīmētajiem punktiem (kvadrātveida lapiņu centriem)?",
LV.AMO.2013.11.5,note,"Kas mainās, ja uzskatām, ka kvadrātveida papīra gabaliņam nav pilnībā jāatrodas uz galda virsmas (bet tikai smaguma centram jāatrodas uz galda, vai tikai nedaudz jāpārklājas ar galda virsmu)?",
LV.AMO.2013.11.5,note,"Kas notiek, ja par caurdurtu uzskata arī tādu lapiņu, kam adata tikai pieskaras?",
LV.AMO.2013.11.5,note,"Kas notiek, ja adatas drīkst durt arī galda malās vai stūros (nevis tikai iekšpusē)?",
LV.AMO.2013.11.5,note,"Kas notiek, ja papīra gabaliņu ir bezgalīgi daudz (bet viņus var sanumurēt ar naturāliem skaitļiem)?",
,,,
LV.AMO.2013.12.1,title,"40.AMO, 12.klases 1.uzdevums",
LV.AMO.2013.12.1,youtube,2x9kPeaKJDg,
LV.AMO.2013.12.1,topic,inequalities,
LV.AMO.2013.12.1,bookmark,13,Risinājums: Intervāla sašaurināšana uz definīcijas apgabalu. Metode: Funkcijas pētīšana.
LV.AMO.2013.12.1,bookmark,67,"Risinājums: Intervāla tālāka sašaurināšana, aplūkojot izteiksmes zīmi. Metode: Funkcijas pētīšana."
LV.AMO.2013.12.1,bookmark,120,"Risinājums: Katra reizinātāja novērtēšana no augšas intervālā (1,3). Metode: Novērtēšana no augšas."
LV.AMO.2013.12.1,bookmark,227,Risinājums: Nevienādību reizinājuma novērtēšana. Metode: Darbības ar nevienādībām.
,,,
LV.AMO.2013.12.2,title,"40.AMO, 12.klases 2.uzdevums",
LV.AMO.2013.12.2,youtube,mI4WrwRl5Uk,
LV.AMO.2013.12.2,topic,triangle-geometry,
LV.AMO.2013.12.2,bookmark,25,Risinājums: Zīmējums vispārīga izskata šaurleņķu (un arī platleņķa) trijstūrim. Metode: Zīmējuma izveidošana.
LV.AMO.2013.12.2,bookmark,61,Risinājums: Viduslīnija atdala sākotnējam līdzīgu trijstūri; līdzības koeficients ir 1/2 un trijstūri ir homotētiski. Tai skaitā - mazajam trijstūrim apvilktā riņķa līnija ir homotētisks attēls lielajam trijstūrim apvilktajai riņķa līnijai. Metode: Figūru līdzība.
LV.AMO.2013.12.2,bookmark,126,"Risinājums: Lielās riņķa līnijas centrs atrodas uz mazās riņķa līnijas, kura lielajai pieskaras un ir ar divreiz mazāku rādiusu. Metode: Riņķa īpašības."
LV.AMO.2013.12.2,bookmark,144,Risinājums: Jebkura no 3 riņķa līnijām iet caur ABC apvilktās riņķa līnijas centru. Metode: Simetrijas izmantošana.
LV.AMO.2013.12.2,bookmark,191,"Atskats: Izmantotās ģeometrijas zināšanas: trijstūru līdzība, divu iekšēji pieskarošos riņķa līniju homotētija."
,,,
LV.AMO.2013.12.3,title,"40.AMO, 12.klases 3.uzdevums",
LV.AMO.2013.12.3,youtube,NJydU7N5E8M,
LV.AMO.2013.12.3,topic,modular-arithmetic,
LV.AMO.2013.12.3,bookmark,16,"Uzdevuma saprašana: Kādas pieejas droši vien neder - nav cerību uzminēt sakni, pārlasīt visus gadījumus, uzreiz pamanīt, kas kopīgs visiem skaitļiem formā 6^x + 13^y, nevienādības, novērtējumi vai definīcijas apgabali... Reālos skaitļos vienādojumu atrisināt viegli (logaritms). Vienīgā perspektīvā metode, lai risinātu veselos skaitļos - aplūkot kādas skaitļu īpašības vienādojuma kreisajā un labajā pusē. Piemēram, dalāmību ar kādu skaitli. Pāru/nepāru pieeja neder; jāaplūko lielāki skaitļi. Metode: Modulārā aritmētika."
LV.AMO.2013.12.3,bookmark,94,"Risinājums: Aplūkojam atlikumus, dalot ar 3, 5 un 7. Metode: Gadījumu pārlase."
LV.AMO.2013.12.3,bookmark,116,"Risinājums: Kongruences apzīmējums (mod 7); un kongruences skaitļu 6, 13 un 29 veselām pakāpēm. Metode: Modulārā aritmētika."
LV.AMO.2013.12.3,bookmark,296,"Risinājums: Nav iespējams, ka (+1/-1) + (+1/-1) kongruents ar 1 (mod 7). Metode: Spriedums no pretējā."
LV.AMO.2013.12.3,note,"Pamatojums tam, ka vesela skaitļa pakāpju atlikumi, dalot ar kādu citu veselu skaitli, veido periodisku virkni.",
LV.AMO.2013.12.3,note,"Ar kādu citu skaitļu atlikumiem iespējams pamatot, ka vienādojumam nav atrisinājumu?",
,,,
LV.AMO.2013.12.4,title,"40.AMO, 12.klases 4.uzdevums",
LV.AMO.2013.12.4,youtube,6DJBsQoRog0,
LV.AMO.2013.12.4,topic,induction,
LV.AMO.2013.12.4,bookmark,66,Uzdevuma saprašana: Kas ir formālās valodas? Kādi ir ierobežojumi vārdu veidošanai.
LV.AMO.2013.12.4,bookmark,92,"Risinājums: Orientēts grafs, kas parāda patskaņu/līdzskaņu izvēlēšanos - pirmos 3 soļus. Metode: Lēmumu koki."
LV.AMO.2013.12.4,bookmark,293,"Risinājums: Apzīmējumi P(n) un L(n) - n-burtu vārdu skaits (arī lēmumu koks), kas sākas attiecīgi ar patskani vai ar līdzskani. Metode: Apzīmējumu ieviešana."
LV.AMO.2013.12.4,bookmark,400,Risinājums: Identiskie pārveidojumi ar P(n) un L(n) apzīmējumiem. Metode: Summas locekļu pārgrupēšana.
LV.AMO.2013.12.4,bookmark,468,Risinājums: Patskaņu un līdzskaņu virknīšu saskaitīšana. Metode: Reizināšanas likums kombinatorikā.
LV.AMO.2013.12.4,bookmark,610,Risinājums: Pierādāmās formulas iegūšana. Metode: Summas locekļu pārgrupēšana.
LV.AMO.2013.12.4,note,"Iegūtā formula ir rekursīva izteiksme, kas ļauj rēķināt jebkura garuma vārdu skaitu dotajā valodā. Izteikt S(1), S(2), S(3)",
LV.AMO.2013.12.4,note,"Ar kādu citu skaitļu atlikumiem iespējams pamatot, ka vienādojumam nav atrisinājumu?",
,,,
LV.AMO.2013.12.5,title,"40.AMO, 12.klases 5.uzdevums",
LV.AMO.2013.12.5,youtube,bjZc82a83cU,
LV.AMO.2013.12.5,topic,induction,
LV.AMO.2013.12.5,bookmark,29,"Uzdevuma saprašana: Regulārs trijstūris arī apmierinātu uzdevuma nosacījumu; bet mums visticamāk vajadzīgs trijstūris, kura malu garumi atšķiras nedaudz."
LV.AMO.2013.12.5,bookmark,61,Risinājums: 4x4 rūtiņu kvadrātā iezīmēta trijstūra piemērs. Metode: Mēģinājumu un kļūdu metode. Pitagora teorēma.
LV.AMO.2013.12.5,bookmark,101,"Risinājums: ""Gandrīz regulāra"" trijstūra jēdziens. Metode: Ekstrēma sasniegšana."
LV.AMO.2013.12.5,bookmark,162,Risinājums: Rūtiņu plaknes kvadrātā a*a iezīmētu trijstūru malu garumu izteikšana ar a un b. Metode: Pitagora teorēma. Gadījumu pārlase.
LV.AMO.2013.12.5,bookmark,324,Risinājums: Trijstūru virknes veidošana; nākamo locekļu izteikšana ar iepriekšējiem. Metode: Rekursīva definīcija.
LV.AMO.2013.12.5,bookmark,373,Risinājums: Malu sakarības pierādījums visai virknei. Metode: Matemātiskā indukcija.
LV.AMO.2013.12.5,bookmark,605,Risinājums: Uzdevuma nosacījumiem atbilstoša trijstūra atrašana virknē. Metode: Reizināšana ar saistīto izteiksmi. Nevienādību pārveidojumi.
LV.AMO.2013.12.5,bookmark,770,Risinājums: Kādēļ augoša trijstūru perimetru virkne pārsniegs 4026^2. Metode: Naturālu skaitļu īpašības.
LV.AMO.2013.12.5,note,"Citas iespējas, kā varēja konstruēt trijstūru virkni (teiksim, kāpinot (2-sqrt(3)) dažādās pakāpēs un aplūkojot veselo skaitli un koeficientu pie saknes no 3)",
LV.AMO.2013.12.5,note,Kādēļ rūtiņu plaknē nevar iezīmēt regulāru trijstūri?,
LV.AMO.2013.12.5,note,"Vai var vispārināt citam daudzstūrim (pamatot, ka malu starpības un arī leņķu starpības ir patvaļīgi mazas).",
LV.AMO.2013.12.5,note,"Pamatot, ka b_n/a_n attiecība neierobežoti tuvojas tg(15°)",
LV.AMO.2013.12.5,note,"Pamatot, ka tg(15°)=2-sqrt(3)",
,,,
LV.AMO.2014.5.1,title,"41.AMO, 5.klases 1.uzdevums",
LV.AMO.2014.5.1,youtube,UWuWNCKsSwk,
LV.AMO.2014.5.1,topic,proportions,
LV.AMO.2014.5.1,bookmark,34,"Uzdevuma saprašana: Mērvienības, daļas un procenti."
LV.AMO.2014.5.1,bookmark,86,Risinājums: Daļu vizualizēšana ar nogriežņiem. Metode: Kopu diagrammas.
LV.AMO.2014.5.1,bookmark,140,Risinājums: Atbilžu iegūšana prasītajā formā.
,,,
LV.AMO.2014.5.2,title,"41.AMO, 5.klases 2.uzdevums",
LV.AMO.2014.5.2,youtube,9POaCeXqWvo,
LV.AMO.2014.5.2,topic,proportions,
LV.AMO.2014.5.2,bookmark,15,"Uzdevuma saprašana: Skaitļu, ko var pierakstīt ar minētajiem cipariem ir ļoti daudz."
LV.AMO.2014.5.2,bookmark,44,Uzdevuma saprašana: Kāds varētu izskatīties atrisinājums
LV.AMO.2014.5.2,bookmark,70,Risinājums: Aritmētiskās darbības ar pēdējiem cipariem. Metode: Atlikumu aritmētika.
LV.AMO.2014.5.2,bookmark,130,Risinājums: Kurš cipars mazākajā no skaitļiem var būt pēdējais? Metode: Gadījumu pārlase.
LV.AMO.2014.5.2,bookmark,159,Risinājums: Pēdējais cipars nevar būt neviens no uzdevuma nosacījumā minētajiem. Metode: Pamatojums no pretējā.
LV.AMO.2014.5.2,bookmark,177,"Atskats: Atlikumu dalot ar 10 (jeb skaitļa pēdējo ciparu) pārvērtību grafiks, ja reizina ar 3."
